epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8293.61,1.20431,2.48586,1.77062,0.87677,0.80111,0.87033,0.68033,1.2586,2.20163,1.75546,0.0003235,0.0003235,0.0003235
43,8490.19,1.2116,2.50583,1.77499,0.87706,0.80108,0.87032,0.68125,1.25876,2.20028,1.75508,0.000307,0.000307,0.000307
44,8687.55,1.21144,2.5075,1.77464,0.87653,0.80041,0.87004,0.68029,1.25834,2.19986,1.75471,0.0002905,0.0002905,0.0002905
45,8884.5,1.20896,2.49233,1.77554,0.8717,0.80804,0.87158,0.68001,1.25792,2.20086,1.75463,0.000274,0.000274,0.000274
46,9084.07,1.20146,2.17037,1.77744,0.86911,0.80326,0.87002,0.68067,1.25852,2.19791,1.75465,0.0002575,0.0002575,0.0002575
47,9279.11,1.19433,2.14557,1.77374,0.86607,0.80979,0.87182,0.68152,1.2584,2.19591,1.75425,0.000241,0.000241,0.000241
48,9475.11,1.18868,2.14349,1.77124,0.86819,0.8069,0.872,0.68153,1.25822,2.19427,1.75426,0.0002245,0.0002245,0.0002245
49,9670.19,1.19043,2.13415,1.77322,0.86989,0.80639,0.87192,0.68181,1.25811,2.19187,1.7542,0.000208,0.000208,0.000208
50,9865.76,1.18377,2.13035,1.76732,0.87221,0.80212,0.87153,0.68196,1.25791,2.19022,1.75427,0.0001915,0.0001915,0.0001915
51,10060.8,1.18742,2.12433,1.76826,0.8744,0.80134,0.87177,0.68267,1.2577,2.18919,1.75426,0.000175,0.000175,0.000175
52,10256,1.18444,2.11561,1.77262,0.87182,0.80629,0.87255,0.68292,1.25758,2.18761,1.7542,0.0001585,0.0001585,0.0001585
53,10451.4,1.18526,2.11559,1.76712,0.87404,0.80151,0.8711,0.6833,1.25754,2.18649,1.75413,0.000142,0.000142,0.000142
54,10646.3,1.18323,2.1082,1.76942,0.87434,0.80127,0.8711,0.68325,1.2574,2.185,1.75412,0.0001255,0.0001255,0.0001255
55,10841.5,1.18298,2.12002,1.76837,0.87446,0.80123,0.87126,0.6835,1.25727,2.18416,1.75401,0.000109,0.000109,0.000109
56,11037,1.18439,2.11098,1.7659,0.87511,0.80114,0.87132,0.68345,1.25707,2.18187,1.75386,9.25e-05,9.25e-05,9.25e-05
57,11232.9,1.18179,2.10907,1.76561,0.87558,0.80321,0.87147,0.68368,1.25692,2.18148,1.75394,7.6e-05,7.6e-05,7.6e-05
58,11427.8,1.18035,2.1077,1.76634,0.8754,0.80413,0.87173,0.68372,1.25695,2.18057,1.75392,5.95e-05,5.95e-05,5.95e-05
59,11623.7,1.18353,2.11244,1.76822,0.88675,0.79477,0.87223,0.68394,1.2567,2.17985,1.75383,4.3e-05,4.3e-05,4.3e-05
60,11818.7,1.18404,2.11098,1.77274,0.88772,0.79347,0.87232,0.68404,1.25674,2.17928,1.75373,2.65e-05,2.65e-05,2.65e-05
