epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1751,1.66647,2.49898,1.83969,0.43873,0.11511,0.02744,0.00638,3.09144,11.4604,4.16497,0.0033121,0.0033121,0.0701911
2,49.8227,1.73528,2.32958,1.92037,0.46677,0.13647,0.03283,0.01469,2.02969,10.2915,2.50187,0.00657965,0.00657965,0.0401253
3,75.4699,1.68574,2.22062,1.86929,0.6356,0.18489,0.20126,0.08844,2.02557,3.25771,2.63162,0.00978119,0.00978119,0.0099935
4,99.2296,1.62665,2.07196,1.82079,0.66342,0.28999,0.25177,0.13612,1.73424,2.57692,2.13355,0.009703,0.009703,0.009703
5,122.629,1.54486,1.88081,1.74897,0.83512,0.39603,0.47144,0.28734,1.39846,1.71535,1.77223,0.009604,0.009604,0.009604
6,146.239,1.44183,1.72699,1.6533,0.61529,0.46087,0.44756,0.27587,1.37926,1.51738,1.75478,0.009505,0.009505,0.009505
7,169.89,1.45841,1.78117,1.67128,0.81743,0.43211,0.45885,0.30144,1.30971,1.73797,1.65891,0.009406,0.009406,0.009406
8,193.325,1.35364,1.64145,1.60208,0.70163,0.46723,0.50618,0.32916,1.25681,1.46165,1.62735,0.009307,0.009307,0.009307
