epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4717,2.02712,2.70749,2.06617,0.55281,0.18411,0.13976,0.06112,2.23534,9.0805,2.71603,0.00331461,0.00331461,0.0701685
2,53.9923,2.07047,2.56594,2.12589,0.83346,0.11704,0.07142,0.02768,2.54879,8.50499,3.09018,0.00658213,0.00658213,0.0401027
3,80.3999,2.02223,2.42286,2.06347,0.36887,0.3545,0.32435,0.16901,1.86473,2.69368,2.17235,0.00978364,0.00978364,0.00997091
4,106.442,1.94478,2.31448,2.0036,0.51732,0.35626,0.3961,0.21383,1.72552,2.23604,1.91508,0.009703,0.009703,0.009703
5,132.562,1.85653,2.16703,1.91829,0.54654,0.46892,0.4452,0.25863,1.56327,2.0516,1.85931,0.009604,0.009604,0.009604
6,158.669,1.85053,2.14606,1.9239,0.55829,0.45652,0.48113,0.29676,1.55765,1.70931,1.80949,0.009505,0.009505,0.009505
7,184.795,1.80765,2.07129,1.86477,0.73741,0.45705,0.50477,0.31142,1.48445,1.70333,1.78041,0.009406,0.009406,0.009406
8,210.815,1.7498,1.98116,1.81934,0.77617,0.50823,0.54392,0.32679,1.4582,1.61481,1.76742,0.009307,0.009307,0.009307
9,237.003,1.71446,1.92694,1.79948,0.81183,0.56604,0.60625,0.39211,1.3732,1.53114,1.62438,0.009208,0.009208,0.009208
10,263.052,1.6955,1.91549,1.77993,0.7934,0.53816,0.5849,0.38412,1.35452,1.42034,1.6428,0.009109,0.009109,0.009109
11,288.919,1.66069,1.84261,1.74371,0.7516,0.55602,0.58662,0.38432,1.37088,1.46912,1.64501,0.00901,0.00901,0.00901
12,315,1.68681,1.85968,1.76445,0.81868,0.57702,0.62547,0.39859,1.34157,1.46678,1.59922,0.008911,0.008911,0.008911
13,341.119,1.65308,1.8122,1.7423,0.82614,0.58455,0.64416,0.43197,1.31181,1.33014,1.55797,0.008812,0.008812,0.008812
14,367.032,1.62113,1.76483,1.72047,0.83044,0.57553,0.63845,0.43522,1.26163,1.34886,1.55964,0.008713,0.008713,0.008713
15,392.96,1.61897,1.76921,1.72462,0.76999,0.54742,0.59949,0.39328,1.32532,1.44498,1.59844,0.008614,0.008614,0.008614
16,419.007,1.62697,1.77045,1.72501,0.82235,0.59051,0.64717,0.43742,1.2592,1.27459,1.53802,0.008515,0.008515,0.008515
17,444.959,1.56792,1.71584,1.69627,0.8262,0.6042,0.65403,0.44005,1.21873,1.26666,1.52667,0.008416,0.008416,0.008416
18,471.025,1.58576,1.73903,1.70197,0.85771,0.59157,0.65537,0.42632,1.26672,1.27206,1.55733,0.008317,0.008317,0.008317
19,497.061,1.58513,1.72409,1.71764,0.85717,0.59372,0.66868,0.45183,1.21975,1.28281,1.53743,0.008218,0.008218,0.008218
20,523,1.54514,1.66909,1.66981,0.65232,0.63081,0.65033,0.43249,1.22666,1.24628,1.50839,0.008119,0.008119,0.008119
21,548.965,1.52728,1.63987,1.66123,0.85331,0.62085,0.68213,0.46676,1.17713,1.14115,1.47189,0.00802,0.00802,0.00802
22,575.064,1.54108,1.6522,1.66237,0.71788,0.64062,0.6848,0.47207,1.17712,1.2593,1.47483,0.007921,0.007921,0.007921
23,600.978,1.50971,1.62107,1.63982,0.90923,0.61318,0.6891,0.47616,1.17719,1.18555,1.4636,0.007822,0.007822,0.007822
24,626.88,1.51488,1.63127,1.64269,0.63443,0.61441,0.66937,0.45764,1.20481,1.19197,1.4793,0.007723,0.007723,0.007723
25,653,1.52953,1.62239,1.64751,0.74392,0.61263,0.70135,0.48254,1.17477,1.1858,1.46318,0.007624,0.007624,0.007624
26,679.027,1.51618,1.59847,1.64067,0.82827,0.6344,0.70641,0.48262,1.14619,1.12574,1.43888,0.007525,0.007525,0.007525
27,704.955,1.50318,1.58637,1.63387,0.73713,0.58714,0.65594,0.45025,1.18085,1.21377,1.46919,0.007426,0.007426,0.007426
28,730.964,1.47562,1.54504,1.59866,0.76951,0.61198,0.66671,0.4555,1.19283,1.22052,1.47267,0.007327,0.007327,0.007327
29,756.835,1.49038,1.55225,1.612,0.70873,0.6754,0.69547,0.48214,1.17545,1.06305,1.44619,0.007228,0.007228,0.007228
30,782.749,1.47966,1.55341,1.61398,0.7924,0.65291,0.70278,0.49295,1.14439,1.07987,1.43299,0.007129,0.007129,0.007129
31,808.616,1.44629,1.52305,1.58688,0.90579,0.62378,0.70031,0.4962,1.14295,1.1345,1.43781,0.00703,0.00703,0.00703
32,834.689,1.46352,1.5339,1.598,0.74169,0.6412,0.72037,0.50996,1.11504,1.01905,1.40156,0.006931,0.006931,0.006931
33,860.696,1.47514,1.54757,1.60853,0.83782,0.6163,0.68917,0.46584,1.16326,1.13065,1.44009,0.006832,0.006832,0.006832
34,886.684,1.44784,1.50421,1.58511,0.7279,0.63302,0.70077,0.49777,1.13292,1.07731,1.42164,0.006733,0.006733,0.006733
35,912.624,1.4274,1.4721,1.57748,0.84413,0.65027,0.71894,0.50404,1.13307,1.05298,1.41987,0.006634,0.006634,0.006634
36,938.529,1.41917,1.46273,1.56508,0.78231,0.66428,0.71654,0.49463,1.13723,1.04541,1.4014,0.006535,0.006535,0.006535
37,964.487,1.41777,1.47095,1.56518,0.87829,0.64228,0.70323,0.51341,1.1086,1.01966,1.40708,0.006436,0.006436,0.006436
38,990.51,1.40711,1.45691,1.56165,0.87242,0.65022,0.69471,0.48853,1.1489,1.07338,1.44085,0.006337,0.006337,0.006337
39,1016.38,1.4207,1.454,1.57317,0.87245,0.62304,0.68431,0.49099,1.13657,1.0464,1.413,0.006238,0.006238,0.006238
40,1042.33,1.41004,1.45722,1.56104,0.88212,0.66622,0.71485,0.51535,1.07684,0.99972,1.38333,0.006139,0.006139,0.006139
41,1068.35,1.40053,1.44178,1.56025,0.82564,0.65689,0.71495,0.51701,1.09631,0.99951,1.38532,0.00604,0.00604,0.00604
42,1094.34,1.40215,1.44415,1.55662,0.91717,0.64963,0.73241,0.51936,1.08535,1.01998,1.39092,0.005941,0.005941,0.005941
43,1120.25,1.39347,1.42634,1.54945,0.91271,0.65694,0.72176,0.52132,1.06739,0.96662,1.38068,0.005842,0.005842,0.005842
44,1146.29,1.39403,1.43188,1.55206,0.90334,0.63906,0.71755,0.52025,1.07558,0.99427,1.37781,0.005743,0.005743,0.005743
45,1172.29,1.40485,1.42458,1.55532,0.83515,0.68505,0.73105,0.52038,1.11474,0.98595,1.39927,0.005644,0.005644,0.005644
46,1198.24,1.37646,1.41394,1.54556,0.88383,0.64168,0.70978,0.50943,1.08024,1.01145,1.38388,0.005545,0.005545,0.005545
47,1224.16,1.40827,1.41798,1.55149,0.83963,0.66652,0.73203,0.52888,1.07312,0.96848,1.35668,0.005446,0.005446,0.005446
48,1250.15,1.3658,1.37519,1.5307,0.8568,0.66941,0.7214,0.52354,1.06367,0.96584,1.36103,0.005347,0.005347,0.005347
49,1276,1.37381,1.38665,1.53578,0.87171,0.65887,0.72854,0.52493,1.07531,0.97241,1.37261,0.005248,0.005248,0.005248
50,1301.88,1.37735,1.39165,1.54798,0.82372,0.66085,0.70625,0.50776,1.0621,0.98936,1.37834,0.005149,0.005149,0.005149
51,1327.94,1.35472,1.37752,1.52757,0.85145,0.6598,0.72934,0.53046,1.04368,0.94743,1.35978,0.00505,0.00505,0.00505
52,1353.83,1.35178,1.35246,1.52357,0.78222,0.69079,0.73899,0.53744,1.0438,0.96179,1.34982,0.004951,0.004951,0.004951
53,1379.75,1.36071,1.37284,1.53077,0.69509,0.70234,0.72093,0.53524,1.04906,0.94648,1.35712,0.004852,0.004852,0.004852
54,1405.7,1.35708,1.37527,1.53181,0.78883,0.6822,0.72814,0.53322,1.03377,0.94074,1.34602,0.004753,0.004753,0.004753
55,1431.61,1.32431,1.31626,1.4961,0.77951,0.69112,0.73134,0.5343,1.04033,0.95897,1.33359,0.004654,0.004654,0.004654
56,1457.51,1.34033,1.33725,1.50641,0.78502,0.70386,0.74151,0.5351,1.0511,0.93581,1.35576,0.004555,0.004555,0.004555
57,1483.53,1.35828,1.34737,1.51876,0.84128,0.66564,0.73474,0.54403,1.01733,0.93297,1.33138,0.004456,0.004456,0.004456
58,1509.49,1.35639,1.34741,1.52572,0.84795,0.65798,0.72273,0.5362,1.03151,0.92388,1.34568,0.004357,0.004357,0.004357
59,1535.39,1.33477,1.33484,1.51584,0.82902,0.6893,0.73351,0.54192,1.02706,0.94238,1.34319,0.004258,0.004258,0.004258
60,1561.32,1.31586,1.30656,1.49656,0.81856,0.65819,0.72555,0.53437,1.03729,0.93565,1.34132,0.004159,0.004159,0.004159
61,1587.23,1.30552,1.30133,1.48925,0.73076,0.70845,0.72575,0.53831,1.0296,0.91223,1.34715,0.00406,0.00406,0.00406
62,1613.12,1.30224,1.29582,1.48834,0.84725,0.66148,0.73752,0.54784,1.01545,0.89671,1.32635,0.003961,0.003961,0.003961
63,1639.05,1.29515,1.28015,1.48138,0.76286,0.71531,0.74644,0.55137,1.02162,0.8863,1.33446,0.003862,0.003862,0.003862
64,1664.96,1.30494,1.30574,1.49982,0.84923,0.66238,0.73977,0.54384,1.02811,0.89877,1.32703,0.003763,0.003763,0.003763
65,1691.01,1.29914,1.29691,1.49335,0.79179,0.69803,0.73545,0.54405,1.01293,0.91902,1.32673,0.003664,0.003664,0.003664
66,1716.97,1.29537,1.28412,1.48719,0.75875,0.71746,0.74222,0.5451,1.03015,0.89696,1.33437,0.003565,0.003565,0.003565
67,1742.89,1.3132,1.29382,1.48778,0.93133,0.66431,0.74109,0.55138,1.01732,0.89666,1.3304,0.003466,0.003466,0.003466
68,1768.88,1.28568,1.27115,1.48021,0.76179,0.71084,0.74672,0.55505,1.00803,0.89187,1.31456,0.003367,0.003367,0.003367
69,1795.51,1.27883,1.2713,1.46713,0.77604,0.71722,0.7475,0.55445,1.00912,0.89316,1.32093,0.003268,0.003268,0.003268
70,1821.51,1.27841,1.26152,1.46944,0.78958,0.71228,0.75166,0.56214,0.99917,0.879,1.30388,0.003169,0.003169,0.003169
71,1847.45,1.25247,1.22259,1.45297,0.7514,0.71534,0.74244,0.55135,1.01762,0.88274,1.33035,0.00307,0.00307,0.00307
72,1873.36,1.28209,1.25505,1.46939,0.86902,0.67954,0.74163,0.55176,1.00688,0.88727,1.30665,0.002971,0.002971,0.002971
73,1899.32,1.28377,1.25237,1.46897,0.82849,0.70299,0.74889,0.55747,1.01182,0.88089,1.3138,0.002872,0.002872,0.002872
74,1925.24,1.27077,1.24143,1.46478,0.75664,0.71947,0.74418,0.55566,1.00284,0.88281,1.32215,0.002773,0.002773,0.002773
75,1951.24,1.25179,1.22963,1.4611,0.73905,0.72814,0.74618,0.55638,1.00042,0.88127,1.31781,0.002674,0.002674,0.002674
76,1977.97,1.29006,1.26244,1.47426,0.75068,0.71373,0.74178,0.55401,1.01083,0.87875,1.32149,0.002575,0.002575,0.002575
77,2011.67,1.26333,1.24147,1.46642,0.74975,0.71593,0.74593,0.55938,1.00011,0.87611,1.31544,0.002476,0.002476,0.002476
78,2047.17,1.25674,1.2361,1.45738,0.83355,0.69636,0.74872,0.55966,1.00519,0.87644,1.31451,0.002377,0.002377,0.002377
79,2082.33,1.24759,1.20699,1.453,0.78759,0.71132,0.74708,0.55986,1.00433,0.85906,1.31858,0.002278,0.002278,0.002278
80,2117.98,1.26513,1.22447,1.46064,0.75085,0.72346,0.74802,0.55613,1.00444,0.8707,1.30952,0.002179,0.002179,0.002179
81,2153.47,1.23254,1.20737,1.44654,0.70817,0.73782,0.75097,0.56528,0.9971,0.85194,1.31599,0.00208,0.00208,0.00208
82,2189.17,1.23345,1.19626,1.44094,0.80376,0.71273,0.75105,0.56215,1.00177,0.86234,1.31189,0.001981,0.001981,0.001981
83,2226.87,1.22351,1.17546,1.43264,0.81004,0.7051,0.74681,0.56343,1.01181,0.8637,1.31664,0.001882,0.001882,0.001882
84,2265.3,1.24484,1.2116,1.44684,0.77636,0.7232,0.74906,0.56329,0.98655,0.84764,1.30053,0.001783,0.001783,0.001783
85,2308.58,1.21304,1.19319,1.42816,0.76657,0.72058,0.75408,0.56658,0.99275,0.84989,1.30288,0.001684,0.001684,0.001684
86,2342.1,1.24767,1.20155,1.44375,0.78623,0.72333,0.75345,0.5655,0.99744,0.83749,1.30891,0.001585,0.001585,0.001585
87,2377.29,1.22553,1.18461,1.43341,0.76424,0.72012,0.75367,0.56781,0.99552,0.84807,1.31014,0.001486,0.001486,0.001486
88,2411.66,1.22783,1.18515,1.43833,0.74896,0.73494,0.7558,0.56995,0.9974,0.8467,1.30738,0.001387,0.001387,0.001387
89,2446.24,1.2271,1.17512,1.43781,0.81161,0.70899,0.75229,0.56295,0.99175,0.83826,1.30695,0.001288,0.001288,0.001288
90,2480.18,1.20319,1.15535,1.42163,0.80545,0.712,0.75256,0.5677,0.99287,0.84537,1.30921,0.001189,0.001189,0.001189
91,2525.63,1.15183,1.06515,1.39772,0.82113,0.70826,0.7502,0.56576,1.00716,0.85867,1.31649,0.00109,0.00109,0.00109
92,2556.67,1.12713,1.03287,1.39764,0.83228,0.708,0.75381,0.56457,1.01447,0.84078,1.32783,0.000991,0.000991,0.000991
93,2587.75,1.13747,1.016,1.39123,0.74614,0.73966,0.74983,0.56591,1.00033,0.83089,1.30925,0.000892,0.000892,0.000892
94,2618.11,1.11522,0.99774,1.37966,0.75387,0.73333,0.74989,0.56499,0.99911,0.83662,1.31025,0.000793,0.000793,0.000793
