epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.251,1.24863,1.27156,1.4129,0.8679,0.74539,0.83587,0.62842,1.19887,1.10453,1.40677,0.00033314,0.00033314,0.0670192
2,611.267,1.21265,1.20996,1.38874,0.85997,0.75979,0.84924,0.6417,1.14648,1.00775,1.34969,0.000653277,0.000653277,0.034006
3,923.48,1.19015,1.1746,1.37491,0.891,0.75603,0.85961,0.66315,1.1239,0.96209,1.33284,0.000960214,0.000960214,0.000979571
4,1169.43,1.19025,1.16583,1.37193,0.8757,0.76999,0.86301,0.66447,1.11978,0.95417,1.32759,0.0009406,0.0009406,0.0009406
5,1416.05,1.17402,1.15585,1.36411,0.87675,0.77107,0.86398,0.66516,1.12081,0.95976,1.32665,0.0009208,0.0009208,0.0009208
6,1759.97,1.1824,1.16096,1.36914,0.86955,0.76916,0.86038,0.6646,1.12277,0.94896,1.32809,0.000901,0.000901,0.000901
7,2106.3,1.17698,1.15451,1.36756,0.85372,0.79384,0.86116,0.66543,1.11888,0.95732,1.32793,0.0008812,0.0008812,0.0008812
8,2357.42,1.17827,1.15799,1.36516,0.8496,0.79173,0.86231,0.66493,1.11671,0.94671,1.32273,0.0008614,0.0008614,0.0008614
9,2598.14,1.17959,1.14907,1.36257,0.87702,0.77302,0.86498,0.67002,1.11627,0.95077,1.32379,0.0008416,0.0008416,0.0008416
10,2838.65,1.17769,1.15009,1.36356,0.87116,0.7806,0.86462,0.66987,1.11546,0.95239,1.3253,0.0008218,0.0008218,0.0008218
11,3079.71,1.17323,1.14773,1.35996,0.86033,0.78867,0.86538,0.67021,1.1159,0.94904,1.32316,0.000802,0.000802,0.000802
12,3320.5,1.17452,1.1479,1.36299,0.85985,0.78885,0.86411,0.66926,1.11675,0.94588,1.32243,0.0007822,0.0007822,0.0007822
13,3561.2,1.17864,1.15019,1.36401,0.8661,0.78027,0.86491,0.66961,1.11563,0.94737,1.32536,0.0007624,0.0007624,0.0007624
14,3802.34,1.1781,1.15014,1.36582,0.87324,0.78174,0.86453,0.67026,1.11691,0.94762,1.32681,0.0007426,0.0007426,0.0007426
15,4043.28,1.17014,1.14005,1.35876,0.86017,0.78358,0.86219,0.66931,1.1185,0.94536,1.32551,0.0007228,0.0007228,0.0007228
16,4284.26,1.17386,1.15146,1.36361,0.87335,0.77888,0.8641,0.66782,1.11584,0.94572,1.32664,0.000703,0.000703,0.000703
17,4525.59,1.17712,1.1471,1.36301,0.85963,0.78601,0.86535,0.67021,1.11482,0.9473,1.32547,0.0006832,0.0006832,0.0006832
18,4766.25,1.17169,1.14278,1.3621,0.85312,0.79465,0.86476,0.67416,1.11191,0.94675,1.32412,0.0006634,0.0006634,0.0006634
19,5006.86,1.1748,1.14404,1.36259,0.87909,0.77481,0.86489,0.67027,1.11192,0.94418,1.32145,0.0006436,0.0006436,0.0006436
20,5248.3,1.17572,1.14494,1.36184,0.86358,0.78539,0.86506,0.67263,1.11202,0.94106,1.3216,0.0006238,0.0006238,0.0006238
21,5489.07,1.17176,1.14701,1.3611,0.87517,0.7762,0.86574,0.6737,1.11117,0.94217,1.32102,0.000604,0.000604,0.000604
22,5763.12,1.1741,1.14318,1.36268,0.87792,0.777,0.86709,0.67375,1.11067,0.93773,1.31991,0.0005842,0.0005842,0.0005842
23,6044.68,1.17159,1.1415,1.36056,0.89355,0.76575,0.86687,0.67379,1.10974,0.94045,1.31989,0.0005644,0.0005644,0.0005644
24,6325.56,1.16821,1.13794,1.3591,0.8741,0.77898,0.866,0.6706,1.11041,0.9394,1.31987,0.0005446,0.0005446,0.0005446
25,6606.61,1.17046,1.14092,1.36137,0.86789,0.78836,0.8687,0.67273,1.10898,0.93918,1.31952,0.0005248,0.0005248,0.0005248
26,6886.74,1.16823,1.13999,1.35864,0.8622,0.79206,0.86876,0.67325,1.10903,0.9398,1.31954,0.000505,0.000505,0.000505
27,7155.31,1.16484,1.14181,1.36026,0.88054,0.78113,0.8684,0.67244,1.10884,0.93873,1.31936,0.0004852,0.0004852,0.0004852
28,7400.48,1.16775,1.13437,1.35886,0.86746,0.78903,0.86784,0.67246,1.10965,0.93812,1.31972,0.0004654,0.0004654,0.0004654
29,7645.23,1.16678,1.13737,1.36009,0.88127,0.7837,0.86795,0.6731,1.10952,0.93724,1.31973,0.0004456,0.0004456,0.0004456
30,7890.08,1.17264,1.13944,1.36288,0.87698,0.78742,0.8675,0.6724,1.11009,0.93636,1.32024,0.0004258,0.0004258,0.0004258
31,8135.79,1.094,0.9349,1.32411,0.87386,0.79223,0.86773,0.67316,1.11195,0.93331,1.32043,0.000406,0.000406,0.000406
32,8376.8,1.08253,0.9121,1.31809,0.86631,0.79659,0.86848,0.67536,1.11093,0.93052,1.31975,0.0003862,0.0003862,0.0003862
33,8617.82,1.0814,0.90628,1.31675,0.86669,0.79602,0.86943,0.67611,1.11008,0.92758,1.31895,0.0003664,0.0003664,0.0003664
34,8858.93,1.07726,0.90438,1.31358,0.87126,0.79333,0.86942,0.6764,1.10887,0.92501,1.31777,0.0003466,0.0003466,0.0003466
35,9099.71,1.07949,0.90504,1.31534,0.8763,0.79545,0.8699,0.67756,1.10774,0.9239,1.3171,0.0003268,0.0003268,0.0003268
36,9340.78,1.07258,0.89794,1.3139,0.88299,0.79169,0.86987,0.67731,1.10676,0.92282,1.31666,0.000307,0.000307,0.000307
37,9582.11,1.07235,0.89556,1.31194,0.88306,0.79152,0.87059,0.67871,1.10635,0.9219,1.31648,0.0002872,0.0002872,0.0002872
38,9823.15,1.07202,0.89812,1.31094,0.88137,0.79203,0.87051,0.67836,1.10582,0.92068,1.31618,0.0002674,0.0002674,0.0002674
39,10064.3,1.06759,0.89116,1.30654,0.88308,0.79142,0.8707,0.67845,1.10534,0.91993,1.31597,0.0002476,0.0002476,0.0002476
40,10305.6,1.0671,0.88885,1.30753,0.88011,0.79182,0.87096,0.67975,1.10499,0.91924,1.3157,0.0002278,0.0002278,0.0002278
41,10546.5,1.06925,0.88998,1.31082,0.88093,0.79108,0.87117,0.68059,1.10457,0.91848,1.31554,0.000208,0.000208,0.000208
42,10787.1,1.06829,0.88676,1.30873,0.88098,0.79081,0.87141,0.68076,1.10412,0.91781,1.31527,0.0001882,0.0001882,0.0001882
43,11026.5,1.06774,0.8869,1.30802,0.88289,0.7909,0.87157,0.68104,1.10368,0.91706,1.31503,0.0001684,0.0001684,0.0001684
44,11265.9,1.06823,0.88412,1.30783,0.87873,0.79292,0.87161,0.68072,1.10334,0.91629,1.31484,0.0001486,0.0001486,0.0001486
45,11505.1,1.06785,0.88497,1.31056,0.87688,0.79428,0.87177,0.68052,1.10311,0.91583,1.31469,0.0001288,0.0001288,0.0001288
46,11744.2,1.06597,0.88517,1.30777,0.8764,0.79499,0.87207,0.68099,1.10263,0.91557,1.31446,0.000109,0.000109,0.000109
47,11982.9,1.06876,0.88619,1.30986,0.87517,0.79599,0.87207,0.6811,1.10255,0.91522,1.31439,8.92e-05,8.92e-05,8.92e-05
48,12227.4,1.0631,0.88178,1.30754,0.874,0.79654,0.87216,0.68092,1.10239,0.91498,1.31427,6.94e-05,6.94e-05,6.94e-05
49,12468.1,1.06205,0.88084,1.3034,0.86869,0.80249,0.87232,0.68136,1.10218,0.91483,1.3141,4.96e-05,4.96e-05,4.96e-05
50,12709.1,1.06414,0.88086,1.30776,0.86866,0.8028,0.87227,0.68176,1.10191,0.91466,1.31395,2.98e-05,2.98e-05,2.98e-05
