epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1719,2.05955,2.79247,2.09951,0.3826,0.20987,0.15202,0.07333,2.28144,5.51743,2.79538,0.00331818,0.00331818,0.0701364
2,73.6458,2.0889,2.67102,2.14619,0.56417,0.17915,0.14946,0.0717,1.98348,8.3099,2.36962,0.00658567,0.00658567,0.0400705
3,106.75,2.0387,2.61018,2.11734,0.4687,0.39838,0.27541,0.12488,2.15004,4.14819,2.49002,0.00978715,0.00978715,0.00993866
4,139.657,1.99864,2.45998,2.05177,0.2699,0.25789,0.12683,0.05597,2.37004,3.92709,2.86746,0.009703,0.009703,0.009703
5,177.75,1.91121,2.30596,1.96639,0.60655,0.45336,0.51272,0.29646,1.67754,2.26102,1.93105,0.009604,0.009604,0.009604
6,213.651,1.84997,2.22483,1.92823,0.54679,0.4801,0.51315,0.31166,1.64523,2.06277,1.90632,0.009505,0.009505,0.009505
7,250.425,1.79303,2.14482,1.87593,0.66908,0.52866,0.57669,0.3434,1.5454,1.83032,1.84168,0.009406,0.009406,0.009406
8,289.414,1.78994,2.12228,1.85918,0.74264,0.38697,0.43136,0.28207,1.6289,2.40833,1.95576,0.009307,0.009307,0.009307
9,327.513,1.73204,2.02708,1.8174,0.78574,0.49306,0.54195,0.35458,1.54643,1.91887,1.80547,0.009208,0.009208,0.009208
10,365.092,1.72961,2.025,1.82384,0.59103,0.56003,0.57625,0.37179,1.52147,1.73458,1.80042,0.009109,0.009109,0.009109
11,404.522,1.71654,1.96941,1.80329,0.62453,0.53883,0.60056,0.39042,1.52345,1.76228,1.7899,0.00901,0.00901,0.00901
12,445.547,1.70396,1.95348,1.80066,0.68896,0.58692,0.64306,0.42074,1.44182,1.5977,1.71946,0.008911,0.008911,0.008911
13,478.905,1.66419,1.90336,1.77551,0.66957,0.57253,0.61062,0.38983,1.45994,1.63881,1.76717,0.008812,0.008812,0.008812
14,512.018,1.62536,1.83958,1.74,0.70158,0.58584,0.63319,0.41437,1.43426,1.55729,1.71653,0.008713,0.008713,0.008713
15,544.672,1.6355,1.87606,1.76396,0.64241,0.60978,0.6411,0.43137,1.37693,1.54681,1.67957,0.008614,0.008614,0.008614
16,577.274,1.63,1.84259,1.73981,0.75791,0.58426,0.6535,0.42538,1.40304,1.59673,1.67974,0.008515,0.008515,0.008515
17,609.82,1.6239,1.83601,1.73947,0.85132,0.61505,0.68089,0.46015,1.34876,1.4571,1.6397,0.008416,0.008416,0.008416
18,642.505,1.59574,1.79639,1.72269,0.68851,0.64966,0.66918,0.4469,1.3628,1.4264,1.61836,0.008317,0.008317,0.008317
19,674.88,1.59392,1.79668,1.71713,0.67846,0.58609,0.64078,0.42961,1.39102,1.56472,1.68406,0.008218,0.008218,0.008218
20,707.36,1.56635,1.7386,1.69973,0.78558,0.58577,0.65771,0.42998,1.36186,1.47211,1.64877,0.008119,0.008119,0.008119
21,739.74,1.56949,1.73804,1.69916,0.84177,0.62675,0.69089,0.46665,1.36594,1.42034,1.65426,0.00802,0.00802,0.00802
22,772.073,1.57861,1.74426,1.69853,0.75417,0.63209,0.69315,0.47752,1.32796,1.445,1.61705,0.007921,0.007921,0.007921
23,804.358,1.55065,1.72417,1.68405,0.83039,0.6023,0.68338,0.46593,1.32413,1.39106,1.61421,0.007822,0.007822,0.007822
24,836.885,1.55719,1.70679,1.68015,0.70445,0.63838,0.67413,0.46027,1.32517,1.45621,1.59947,0.007723,0.007723,0.007723
25,869.501,1.55094,1.70283,1.67297,0.80251,0.62407,0.68517,0.45939,1.35333,1.36323,1.62255,0.007624,0.007624,0.007624
26,902.234,1.53658,1.6895,1.6703,0.71322,0.6467,0.67329,0.47048,1.31082,1.36392,1.61305,0.007525,0.007525,0.007525
27,940.388,1.49553,1.62352,1.62696,0.82119,0.65339,0.70532,0.49319,1.29752,1.29893,1.56701,0.007426,0.007426,0.007426
28,981.41,1.50543,1.65235,1.64898,0.72295,0.67338,0.70549,0.49505,1.26876,1.29022,1.55472,0.007327,0.007327,0.007327
29,1022.51,1.48917,1.63104,1.63701,0.83575,0.64553,0.71802,0.49966,1.26964,1.32613,1.54986,0.007228,0.007228,0.007228
30,1063.58,1.51381,1.63573,1.64565,0.77241,0.64328,0.692,0.47133,1.29284,1.33569,1.5809,0.007129,0.007129,0.007129
31,1104.84,1.49134,1.60839,1.63101,0.71422,0.6931,0.72137,0.50749,1.23366,1.25163,1.53623,0.00703,0.00703,0.00703
32,1143.01,1.48613,1.59881,1.62939,0.741,0.68549,0.72289,0.50712,1.25248,1.28152,1.54035,0.006931,0.006931,0.006931
33,1178.35,1.49892,1.62365,1.64181,0.73908,0.66017,0.69827,0.49663,1.26411,1.29009,1.55951,0.006832,0.006832,0.006832
34,1219.01,1.48639,1.58902,1.62219,0.73307,0.65556,0.71068,0.51003,1.25751,1.28127,1.52432,0.006733,0.006733,0.006733
35,1260.81,1.48446,1.58329,1.62268,0.88236,0.64052,0.73258,0.50965,1.2502,1.24636,1.51648,0.006634,0.006634,0.006634
36,1302.2,1.4689,1.58024,1.62416,0.84064,0.66049,0.72843,0.51378,1.23996,1.22522,1.51665,0.006535,0.006535,0.006535
37,1343.51,1.46891,1.55407,1.61156,0.78803,0.65525,0.7103,0.50676,1.26263,1.26113,1.55189,0.006436,0.006436,0.006436
38,1384.65,1.44396,1.54146,1.5991,0.80287,0.67009,0.72311,0.5117,1.24169,1.26091,1.53474,0.006337,0.006337,0.006337
39,1426.34,1.45162,1.55264,1.60669,0.77932,0.68463,0.73405,0.51239,1.24255,1.20024,1.51487,0.006238,0.006238,0.006238
40,1468.21,1.4546,1.54919,1.60816,0.81456,0.65869,0.72162,0.51686,1.21372,1.21357,1.51503,0.006139,0.006139,0.006139
41,1509,1.44603,1.54199,1.59743,0.80786,0.65612,0.71944,0.51913,1.22135,1.19069,1.50185,0.00604,0.00604,0.00604
42,1549.78,1.40192,1.47206,1.56769,0.81836,0.69,0.73678,0.52511,1.22875,1.18177,1.50259,0.005941,0.005941,0.005941
