epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.861,1.81901,2.44831,1.8428,0.33718,0.30682,0.26616,0.14332,1.85875,2.47382,2.04466,0.0033314,0.0033314,0.0700174
2,495.867,1.75308,2.23827,1.81205,0.61676,0.34502,0.37015,0.21051,1.7094,2.28529,1.87234,0.00659875,0.00659875,0.0399514
3,736.997,1.66329,2.04235,1.73004,0.61291,0.51547,0.57141,0.32503,1.56675,2.03418,1.75409,0.0098001,0.0098001,0.00981946
4,977.787,1.60411,1.92129,1.68267,0.47053,0.47012,0.50152,0.32084,1.51275,1.80105,1.69744,0.009703,0.009703,0.009703
5,1217.53,1.55425,1.83387,1.64973,0.62144,0.59417,0.65011,0.40187,1.45247,1.62298,1.64067,0.009604,0.009604,0.009604
6,1457.17,1.51478,1.7472,1.61062,0.74892,0.62025,0.7131,0.46909,1.4133,1.48195,1.59861,0.009505,0.009505,0.009505
7,1697.92,1.4937,1.70931,1.59613,0.6875,0.65289,0.69624,0.45467,1.38099,1.54924,1.57493,0.009406,0.009406,0.009406
8,1938.02,1.47385,1.66188,1.57378,0.75549,0.62488,0.71422,0.47627,1.35336,1.42254,1.55087,0.009307,0.009307,0.009307
9,2177.75,1.46256,1.63616,1.56938,0.76582,0.66807,0.74155,0.50884,1.35323,1.3788,1.5472,0.009208,0.009208,0.009208
10,2418.16,1.44629,1.59481,1.55173,0.77266,0.66334,0.746,0.49807,1.31756,1.34035,1.51581,0.009109,0.009109,0.009109
11,2658.2,1.42697,1.57542,1.53871,0.79527,0.67631,0.75634,0.51501,1.30304,1.30328,1.50225,0.00901,0.00901,0.00901
12,2898.18,1.42432,1.55998,1.53786,0.82227,0.69135,0.7792,0.54698,1.28944,1.273,1.49331,0.008911,0.008911,0.008911
13,3138.58,1.40659,1.53647,1.52507,0.8258,0.67611,0.78784,0.55921,1.27096,1.24375,1.47894,0.008812,0.008812,0.008812
14,3378.52,1.41049,1.52865,1.52035,0.8131,0.72877,0.80383,0.5679,1.26169,1.23157,1.46034,0.008713,0.008713,0.008713
15,3618.2,1.39276,1.50823,1.51065,0.83396,0.70023,0.80011,0.56535,1.25531,1.22198,1.46198,0.008614,0.008614,0.008614
