epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1747.26,1.36924,1.39263,1.5133,0.69766,0.62345,0.65518,0.45118,1.25237,1.15811,1.51647,0.005743,0.005743,0.005743
45,1786.65,1.34713,1.35151,1.49719,0.72869,0.6005,0.63897,0.45157,1.22181,1.1858,1.50052,0.005644,0.005644,0.005644
46,1826.4,1.34282,1.35925,1.50238,0.74227,0.62137,0.65487,0.45055,1.22601,1.1514,1.50982,0.005545,0.005545,0.005545
47,1866.23,1.34124,1.37444,1.50072,0.821,0.5962,0.65646,0.45247,1.19645,1.13927,1.4906,0.005446,0.005446,0.005446
48,1906.76,1.30181,1.31443,1.47811,0.62035,0.64162,0.64866,0.44993,1.23441,1.15887,1.5074,0.005347,0.005347,0.005347
49,1946.74,1.33198,1.35171,1.49051,0.84821,0.57999,0.65593,0.45991,1.20147,1.10948,1.48713,0.005248,0.005248,0.005248
50,1986.55,1.32181,1.31423,1.47931,0.72692,0.61688,0.6584,0.45993,1.21313,1.13732,1.49848,0.005149,0.005149,0.005149
51,2027.12,1.31433,1.318,1.48386,0.73261,0.62092,0.65537,0.46316,1.18721,1.1215,1.49005,0.00505,0.00505,0.00505
52,2068.86,1.30916,1.30917,1.47293,0.71698,0.62868,0.65997,0.46119,1.21055,1.10743,1.49428,0.004951,0.004951,0.004951
53,2106.54,1.31851,1.32376,1.48206,0.70554,0.61945,0.6544,0.45416,1.21327,1.10688,1.48749,0.004852,0.004852,0.004852
54,2147.8,1.30959,1.33313,1.47989,0.75532,0.60497,0.65089,0.44747,1.20237,1.15741,1.49489,0.004753,0.004753,0.004753
55,2187.66,1.30192,1.30184,1.46817,0.71082,0.61067,0.65145,0.45796,1.2096,1.11218,1.48262,0.004654,0.004654,0.004654
56,2227.45,1.29076,1.28202,1.45922,0.74837,0.60669,0.64879,0.45587,1.19421,1.12641,1.4803,0.004555,0.004555,0.004555
57,2266.93,1.30715,1.3127,1.47671,0.68666,0.62025,0.6466,0.46679,1.17519,1.12379,1.47338,0.004456,0.004456,0.004456
58,2306.56,1.27993,1.27567,1.45636,0.67796,0.63426,0.65984,0.47028,1.18468,1.10704,1.47412,0.004357,0.004357,0.004357
59,2346.01,1.27202,1.25239,1.44344,0.71607,0.63523,0.66527,0.47099,1.18152,1.088,1.47413,0.004258,0.004258,0.004258
60,2385.22,1.28562,1.27879,1.45453,0.7441,0.61696,0.65723,0.46777,1.19584,1.08814,1.47264,0.004159,0.004159,0.004159
61,2424.63,1.28476,1.26308,1.45438,0.72472,0.62287,0.65646,0.46493,1.19203,1.09481,1.47182,0.00406,0.00406,0.00406
62,2463.98,1.26762,1.23689,1.44255,0.69449,0.64942,0.66784,0.47239,1.19027,1.07257,1.45888,0.003961,0.003961,0.003961
63,2503.49,1.25772,1.25186,1.44262,0.70901,0.63052,0.66402,0.47308,1.18029,1.07043,1.4656,0.003862,0.003862,0.003862
64,2542.75,1.24714,1.23096,1.43098,0.6915,0.63287,0.65845,0.46757,1.18481,1.05768,1.46871,0.003763,0.003763,0.003763
65,2582.42,1.25217,1.22291,1.43059,0.70601,0.63735,0.66031,0.47105,1.17419,1.05958,1.45841,0.003664,0.003664,0.003664
66,2621.91,1.26263,1.23656,1.43962,0.72752,0.63322,0.6671,0.47844,1.17253,1.06959,1.46308,0.003565,0.003565,0.003565
67,2662.83,1.25986,1.23214,1.43849,0.75883,0.61999,0.6601,0.47347,1.17441,1.06237,1.46308,0.003466,0.003466,0.003466
68,2702.28,1.23934,1.22029,1.4296,0.69751,0.63438,0.66429,0.47647,1.16851,1.06672,1.45257,0.003367,0.003367,0.003367
69,2741.71,1.24543,1.21435,1.42849,0.68723,0.65673,0.6722,0.47741,1.17581,1.03487,1.45866,0.003268,0.003268,0.003268
70,2781.35,1.2444,1.20094,1.42641,0.71731,0.65415,0.67113,0.47926,1.16853,1.03557,1.45677,0.003169,0.003169,0.003169
71,2821.47,1.24692,1.21325,1.42245,0.70037,0.65603,0.67571,0.48084,1.16345,1.04445,1.45824,0.00307,0.00307,0.00307
72,2861.01,1.23302,1.19908,1.41678,0.68713,0.64588,0.67271,0.47966,1.17706,1.02504,1.44796,0.002971,0.002971,0.002971
73,2900.46,1.23023,1.18461,1.41392,0.71284,0.64232,0.66916,0.48064,1.16196,1.03894,1.4464,0.002872,0.002872,0.002872
74,2939.98,1.2057,1.16613,1.40059,0.74037,0.63286,0.67093,0.4821,1.16817,1.03278,1.44235,0.002773,0.002773,0.002773
75,2979.63,1.19758,1.15977,1.39944,0.69621,0.64293,0.66467,0.4786,1.16881,1.03808,1.45614,0.002674,0.002674,0.002674
76,3019.21,1.23728,1.19114,1.41726,0.70823,0.64919,0.67113,0.48056,1.17022,1.04182,1.45547,0.002575,0.002575,0.002575
77,3058.68,1.2181,1.17365,1.40608,0.71299,0.64571,0.66981,0.48124,1.159,1.02619,1.44971,0.002476,0.002476,0.002476
78,3098.42,1.21017,1.16002,1.39957,0.69824,0.64908,0.66641,0.47329,1.1688,1.03084,1.45149,0.002377,0.002377,0.002377
79,3137.93,1.20267,1.14916,1.39776,0.71494,0.64398,0.66712,0.47869,1.15105,1.01795,1.44171,0.002278,0.002278,0.002278
80,3177.48,1.20224,1.14057,1.39428,0.725,0.63505,0.66927,0.48041,1.16184,1.01376,1.44098,0.002179,0.002179,0.002179
81,3217.18,1.21574,1.16062,1.41072,0.71546,0.64722,0.67232,0.4814,1.1618,1.01532,1.45099,0.00208,0.00208,0.00208
82,3257.06,1.18571,1.13534,1.3841,0.71279,0.64278,0.66875,0.48076,1.17779,1.01497,1.466,0.001981,0.001981,0.001981
83,3297.08,1.17904,1.12806,1.39134,0.71508,0.64102,0.67126,0.48334,1.16695,1.00844,1.44629,0.001882,0.001882,0.001882
84,3336.71,1.17656,1.11809,1.37559,0.69695,0.64999,0.66633,0.47957,1.16372,1.02127,1.452,0.001783,0.001783,0.001783
85,3375.99,1.17703,1.11218,1.37894,0.6688,0.65404,0.66845,0.48271,1.17002,1.02344,1.46193,0.001684,0.001684,0.001684
86,3415.45,1.18041,1.12889,1.38504,0.71069,0.65147,0.66773,0.48284,1.15799,1.01242,1.45067,0.001585,0.001585,0.001585
87,3455.03,1.16971,1.10457,1.37593,0.6801,0.66136,0.67272,0.48528,1.16564,1.01188,1.45812,0.001486,0.001486,0.001486
88,3494.71,1.17496,1.12407,1.38339,0.74447,0.64574,0.67519,0.48458,1.16803,1.0025,1.45586,0.001387,0.001387,0.001387
89,3534.46,1.17695,1.11464,1.3777,0.68143,0.65424,0.66586,0.48236,1.16784,1.02188,1.44715,0.001288,0.001288,0.001288
90,3574.3,1.16273,1.10833,1.37765,0.7229,0.64617,0.6702,0.48247,1.16808,1.01078,1.45579,0.001189,0.001189,0.001189
91,3628.01,1.18551,1.0803,1.41627,0.71864,0.65149,0.67001,0.48477,1.17612,1.00216,1.45671,0.00109,0.00109,0.00109
92,3666.29,1.15962,1.03707,1.41063,0.73303,0.64626,0.66906,0.48154,1.16873,1.00018,1.44955,0.000991,0.000991,0.000991
93,3704.8,1.14349,1.02334,1.39945,0.70059,0.65055,0.66584,0.48326,1.16303,0.99881,1.4564,0.000892,0.000892,0.000892
94,3743.18,1.14438,1.02774,1.39509,0.68777,0.65597,0.66874,0.48818,1.16,0.9939,1.45595,0.000793,0.000793,0.000793
95,3781.88,1.14033,1.01743,1.3966,0.71557,0.64717,0.66564,0.48147,1.16524,0.99233,1.45885,0.000694,0.000694,0.000694
96,3820.3,1.12908,1.01604,1.3909,0.70695,0.65352,0.66815,0.48708,1.16306,0.99162,1.45493,0.000595,0.000595,0.000595
97,3858.49,1.11565,1.00097,1.38573,0.67823,0.66464,0.6673,0.4859,1.16322,0.99297,1.45658,0.000496,0.000496,0.000496
98,3896.81,1.11435,0.98949,1.37986,0.67159,0.6692,0.67027,0.48658,1.16152,0.99233,1.45896,0.000397,0.000397,0.000397
99,3935.14,1.11621,0.99153,1.37881,0.70272,0.65383,0.66578,0.48386,1.16382,0.99032,1.45894,0.000298,0.000298,0.000298
100,3973.59,1.11187,0.98461,1.38096,0.70243,0.66056,0.66571,0.48401,1.16463,0.99322,1.46147,0.000199,0.000199,0.000199
