epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6879,1.64266,2.53296,1.81748,0.86585,0.02963,0.01326,0.00312,3.14423,15.6442,4.66132,0.0033121,0.0033121,0.0701911
2,48.5378,1.73492,2.34049,1.91123,0.76191,0.07889,0.11189,0.04558,2.32673,4.58465,3.00116,0.00657965,0.00657965,0.0401253
3,72.693,1.7139,2.29427,1.88942,0.63218,0.23007,0.17407,0.08078,1.90988,3.13368,2.31103,0.00978119,0.00978119,0.0099935
4,96.4681,1.60299,2.06778,1.792,0.54503,0.25753,0.24228,0.13183,1.66659,2.54663,2.0235,0.009703,0.009703,0.009703
5,119.9,1.53259,1.89328,1.72242,0.85096,0.31347,0.37295,0.21859,1.47719,2.0587,1.85819,0.009604,0.009604,0.009604
6,146.205,1.43942,1.73202,1.64546,0.69802,0.35425,0.36449,0.21651,1.41622,1.65348,1.768,0.009505,0.009505,0.009505
7,169.838,1.44259,1.73746,1.6425,0.60286,0.35409,0.42156,0.25935,1.30115,1.64851,1.66193,0.009406,0.009406,0.009406
8,196.222,1.3868,1.66071,1.60464,0.62394,0.40045,0.4652,0.30558,1.23265,1.47699,1.58684,0.009307,0.009307,0.009307
9,220.874,1.35871,1.57626,1.57977,0.46466,0.51306,0.51169,0.30994,1.24027,1.35758,1.60296,0.009208,0.009208,0.009208
10,244.308,1.3333,1.54292,1.56581,0.66361,0.44256,0.50183,0.31076,1.2643,1.40919,1.60354,0.009109,0.009109,0.009109
11,267.543,1.30428,1.52185,1.53088,0.6241,0.45721,0.50189,0.30988,1.24986,1.41077,1.62251,0.00901,0.00901,0.00901
12,290.73,1.28797,1.47709,1.52018,0.51244,0.52546,0.48644,0.31159,1.20479,1.32925,1.55993,0.008911,0.008911,0.008911
13,314.034,1.26863,1.40967,1.49776,0.67071,0.40814,0.46448,0.2878,1.29405,1.55807,1.69955,0.008812,0.008812,0.008812
14,337.44,1.25665,1.44093,1.49748,0.70301,0.47102,0.53473,0.35276,1.16057,1.31183,1.51924,0.008713,0.008713,0.008713
15,360.788,1.24088,1.40076,1.49303,0.72368,0.45372,0.50847,0.32681,1.19671,1.35389,1.59294,0.008614,0.008614,0.008614
16,384.645,1.26226,1.40706,1.49529,0.5457,0.587,0.56388,0.35606,1.2071,1.27471,1.53333,0.008515,0.008515,0.008515
17,408.549,1.21488,1.37626,1.46904,0.65704,0.49883,0.54476,0.34495,1.16951,1.30809,1.53721,0.008416,0.008416,0.008416
18,431.91,1.2097,1.34075,1.46174,0.51298,0.60493,0.57644,0.37885,1.10859,1.16327,1.47489,0.008317,0.008317,0.008317
19,454.997,1.1865,1.30897,1.45133,0.58656,0.49841,0.5566,0.37155,1.05971,1.13272,1.44705,0.008218,0.008218,0.008218
20,478.385,1.22245,1.36267,1.48785,0.62735,0.54146,0.54125,0.35205,1.12711,1.31311,1.5281,0.008119,0.008119,0.008119
21,501.787,1.16448,1.2839,1.43073,0.58693,0.59912,0.59929,0.40764,1.05616,1.06596,1.41089,0.00802,0.00802,0.00802
22,525.282,1.17942,1.30568,1.45141,0.54335,0.56846,0.5665,0.38102,1.08053,1.1711,1.45373,0.007921,0.007921,0.007921
23,548.842,1.13933,1.26929,1.41599,0.90735,0.4078,0.50174,0.33614,1.08203,1.38489,1.49448,0.007822,0.007822,0.007822
24,575.959,1.13785,1.22977,1.41765,0.45664,0.56456,0.56043,0.37861,1.09748,1.24146,1.49656,0.007723,0.007723,0.007723
25,605.053,1.15029,1.26611,1.42894,0.58182,0.5981,0.60449,0.42263,0.99011,1.05157,1.3663,0.007624,0.007624,0.007624
26,633.967,1.12883,1.22583,1.40505,0.64416,0.56156,0.57524,0.39902,1.03977,1.13311,1.41664,0.007525,0.007525,0.007525
27,662.834,1.11542,1.21704,1.40663,0.55731,0.58884,0.59605,0.41089,1.00717,1.05194,1.41158,0.007426,0.007426,0.007426
28,691.602,1.14228,1.23487,1.41298,0.65026,0.62975,0.65242,0.44282,0.99502,0.98906,1.37114,0.007327,0.007327,0.007327
29,720.322,1.11826,1.21411,1.40007,0.60236,0.62883,0.6275,0.42446,0.99641,1.04171,1.37066,0.007228,0.007228,0.007228
30,748.329,1.10153,1.16461,1.38571,0.70233,0.62405,0.65979,0.44622,1.00033,0.99655,1.38538,0.007129,0.007129,0.007129
31,777.045,1.07344,1.13467,1.36199,0.66887,0.6156,0.65065,0.43289,0.99891,0.97239,1.3709,0.00703,0.00703,0.00703
32,805.415,1.08353,1.14778,1.3797,0.67451,0.64564,0.65888,0.44391,0.98523,0.97787,1.37882,0.006931,0.006931,0.006931
33,829.059,1.07858,1.1679,1.3654,0.64823,0.67579,0.65844,0.44631,0.95215,0.93167,1.34061,0.006832,0.006832,0.006832
34,852.392,1.08388,1.14758,1.37492,0.6372,0.63765,0.6688,0.45873,0.93223,0.94883,1.32222,0.006733,0.006733,0.006733
35,880.789,1.0794,1.13489,1.37683,0.62659,0.64445,0.63534,0.43653,0.97202,0.9789,1.35273,0.006634,0.006634,0.006634
36,909.979,1.0578,1.08966,1.34539,0.6486,0.65324,0.6835,0.46351,0.94838,0.96699,1.33204,0.006535,0.006535,0.006535
37,938.318,1.04838,1.10259,1.35083,0.64294,0.69243,0.70375,0.47239,0.95441,0.88791,1.31492,0.006436,0.006436,0.006436
38,968.395,1.04708,1.07825,1.34068,0.69836,0.6332,0.68175,0.46493,0.94661,0.98513,1.3347,0.006337,0.006337,0.006337
39,997.497,1.0491,1.09241,1.37256,0.75871,0.60884,0.68086,0.48314,0.91985,0.95983,1.32097,0.006238,0.006238,0.006238
40,1022.58,1.03474,1.07278,1.33964,0.71698,0.66746,0.68076,0.4596,0.97136,0.92548,1.35597,0.006139,0.006139,0.006139
41,1045.74,1.03786,1.08457,1.34921,0.62156,0.59928,0.64106,0.44921,0.92517,0.97933,1.32085,0.00604,0.00604,0.00604
42,1071.82,1.02087,1.04287,1.32269,0.78961,0.64117,0.73038,0.50225,0.932,0.89744,1.3175,0.005941,0.005941,0.005941
43,1100.56,0.99194,1.00503,1.31137,0.65667,0.68914,0.71267,0.48395,0.91471,0.88212,1.30106,0.005842,0.005842,0.005842
44,1131.65,0.99301,1.02296,1.3108,0.69302,0.74153,0.71675,0.49146,0.90976,0.8669,1.30059,0.005743,0.005743,0.005743
45,1165.88,0.99161,1.01795,1.30515,0.73951,0.67501,0.69644,0.47582,0.94396,0.89995,1.33423,0.005644,0.005644,0.005644
46,1200.91,0.99349,1.02445,1.31888,0.62278,0.70483,0.67478,0.47326,0.90245,0.88278,1.29136,0.005545,0.005545,0.005545
47,1234.55,1.01143,1.0314,1.3208,0.67989,0.67856,0.69335,0.49242,0.91449,0.88527,1.30352,0.005446,0.005446,0.005446
48,1269.52,0.98276,1.01561,1.3118,0.7351,0.65213,0.69946,0.49674,0.89004,0.86726,1.27753,0.005347,0.005347,0.005347
